,title,genres,genres_list,release_date,budget,revenue,tmdbid,imdbid,runtime,vote_average,vote_count,keywords,keywords_list
28,The City of Lost Children ( 1995 ),Fantasy|Science Fiction|Adventure,"['Fantasy', 'Science Fiction', 'Adventure']",1995-05-16,18000000,1738611,902,902,108.0,7.6,308,clone|dream|island|eye|dystopia|aging|friendship|rescue|children|girl|childhood,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']"
31,Twelve Monkeys ( 1995 ),Science Fiction|Thriller|Mystery,"['Science Fiction', 'Thriller', 'Mystery']",1995-12-29,29500000,168840000,63,63,129.0,7.4,2470,schizophrenia|philadelphia|cassandra syndrom|stockholm syndrome|time travel|post-apocalyptic|dystopia|lethal virus|monkey|subterranean,"['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']"
33,Babe ( 1995 ),Fantasy|Drama|Comedy|Family,"['Fantasy', 'Drama', 'Comedy', 'Family']",1995-07-18,30000000,254134910,9598,9598,89.0,6.0,756,sheep|pig|affection|piglet|heroism|talking animal|separation|german shepherd|grandson|talking pig,"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']"
35,Dead Man Walking ( 1995 ),Drama,['Drama'],1995-12-29,11000000,39363635,687,687,122.0,7.3,350,prison|rape|socially deprived family|penalty|death penalty|despair|death row|begnadigung|therapist|self-discovery|prison cell|court case|death sentence|doomed man|sentence|lethal injection|forgiveness|charity|mercy petition|rage and hate|unsociability|right and justice|court|electric chair|cowardliness,"['prison', 'rape', 'socially deprived family', 'penalty', 'death penalty', 'despair', 'death row', 'begnadigung', 'therapist', 'self-discovery', 'prison cell', 'court case', 'death sentence', 'doomed man', 'sentence', 'lethal injection', 'forgiveness', 'charity', 'mercy petition', 'rage and hate', 'unsociability', 'right and justice', 'court', 'electric chair', 'cowardliness']"
43,Mortal Kombat ( 1995 ),Action|Fantasy,"['Action', 'Fantasy']",1995-08-18,18000000,122195920,9312,9312,101.0,5.4,452,martial arts|monster|island|gore|sorcerer|tournament|violence|based on video game|hand to hand combat,"['martial arts', 'monster', 'island', 'gore', 'sorcerer', 'tournament', 'violence', 'based on video game', 'hand to hand combat']"
44,To Die For ( 1995 ),Fantasy|Drama|Comedy|Thriller,"['Fantasy', 'Drama', 'Comedy', 'Thriller']",1995-05-20,20000000,21284514,577,577,106.0,6.7,177,adultery|winter|obsession|television|new hampshire|narcissistic personality disorder,"['adultery', 'winter', 'obsession', 'television', 'new hampshire', 'narcissistic personality disorder']"
45,How To Make An American Quilt ( 1995 ),Drama|Romance,"['Drama', 'Romance']",1995-10-06,10000000,23574130,11861,11861,116.0,6.5,38,wedding vows|marriage proposal|married couple|monogamy|advice|marriage|quilt|love|family holiday|extramarital affair|grandmother|woman director,"['wedding vows', 'marriage proposal', 'married couple', 'monogamy', 'advice', 'marriage', 'quilt', 'love', 'family holiday', 'extramarital affair', 'grandmother', 'woman director']"
46,Se7en ( 1995 ),Crime|Mystery|Thriller,"['Crime', 'Mystery', 'Thriller']",1995-09-22,33000000,327311859,807,807,127.0,8.1,5915,self-fulfilling prophecy|detective|s.w.a.t.|drug dealer|evisceration|lust and impulsiveness|rage and hate|pride and vanity|immoderateness|insomnia|investigation|pension|police|serial killer,"['self-fulfilling prophecy', 'detective', 's.w.a.t.', 'drug dealer', 'evisceration', 'lust and impulsiveness', 'rage and hate', 'pride and vanity', 'immoderateness', 'insomnia', 'investigation', 'pension', 'police', 'serial killer']"
47,Pocahontas ( 1995 ),Adventure|Animation|Drama|Family,"['Adventure', 'Animation', 'Drama', 'Family']",1995-06-14,55000000,346079773,10530,10530,81.0,6.7,1509,culture clash|settler|forbidden love|colony|musical|gold rush|princess|romance|native american|animation|virginia|star crossed lovers|reference to pizarro|jamestown virginia|pug dog|cross cultural relationship|musket|animate tree|indian chief|based on myths or folklore|17th century|shamanism|songs|indians vs. settlers|animal sidekick|powhatan|land claim,"['culture clash', 'settler', 'forbidden love', 'colony', 'musical', 'gold rush', 'princess', 'romance', 'native american', 'animation', 'virginia', 'star crossed lovers', 'reference to pizarro', 'jamestown virginia', 'pug dog', 'cross cultural relationship', 'musket', 'animate tree', 'indian chief', 'based on myths or folklore', '17th century', 'shamanism', 'songs', 'indians vs. settlers', 'animal sidekick', 'powhatan', 'land claim']"
49,The Usual Suspects ( 1995 ),Drama|Crime|Thriller,"['Drama', 'Crime', 'Thriller']",1995-07-19,6000000,23341568,629,629,106.0,8.1,3334,law|relatives|theft|criminal|criminal mastermind|hungarian|sibling,"['law', 'relatives', 'theft', 'criminal', 'criminal mastermind', 'hungarian', 'sibling']"
51,Mighty Aphrodite ( 1995 ),Comedy|Romance,"['Comedy', 'Romance']",1995-09-13,15000000,6700000,11448,11448,95.0,6.7,145,prostitute|adoption|adoptive father|childlessness|looking for  birth parents|adoptive mother|independent film|illegal prostitution|child,"['prostitute', 'adoption', 'adoptive father', 'childlessness', 'looking for  birth parents', 'adoptive mother', 'independent film', 'illegal prostitution', 'child']"
68,Friday ( 1995 ),Comedy,['Comedy'],1995-04-26,3500000,28215918,10634,10634,91.0,7.0,513,rap music|parent child relationship|rapper|job,"['rap music', 'parent child relationship', 'rapper', 'job']"
69,From Dusk Till Dawn ( 1996 ),Horror|Action|Thriller|Crime,"['Horror', 'Action', 'Thriller', 'Crime']",1996-01-19,19000000,25836616,755,755,108.0,6.9,1644,dancing|brother brother relationship|sexual obsession|showdown|sheriff|eroticism|nudity|bank robber|vampire|holy water|siege|stripper|priest|explosion|extreme violence|bank robbery|preacher|hostage situation|crucifix|recreational vehicle|blood spurting|convenience store|female vampire|mexican american border|nightclub entertainer|boa constrictor,"['dancing', 'brother brother relationship', 'sexual obsession', 'showdown', 'sheriff', 'eroticism', 'nudity', 'bank robber', 'vampire', 'holy water', 'siege', 'stripper', 'priest', 'explosion', 'extreme violence', 'bank robbery', 'preacher', 'hostage situation', 'crucifix', 'recreational vehicle', 'blood spurting', 'convenience store', 'female vampire', 'mexican american border', 'nightclub entertainer', 'boa constrictor']"
70,Fair Game ( 1995 ),Action|Thriller|Romance,"['Action', 'Thriller', 'Romance']",1995-11-03,50000000,11534477,11859,11859,91.0,4.1,54,bomb|miami|sex|detective|handcuffs|based on novel|hostage|fbi|kidnapping|russian|kgb|chase|sadism|parking garage|pizza|police protection|psychopath|remake|car crash|conspiracy|on the run|fugitive|shootout|gunfight|sadist|foot chase|police detective|police station|car chase|held at gunpoint|fbi agent|double cross|cult film|computer hacker|machine gun|swat team|grenade launcher|underwater scene|rogue agent|woman lawyer|damsel in distress,"['bomb', 'miami', 'sex', 'detective', 'handcuffs', 'based on novel', 'hostage', 'fbi', 'kidnapping', 'russian', 'kgb', 'chase', 'sadism', 'parking garage', 'pizza', 'police protection', 'psychopath', 'remake', 'car crash', 'conspiracy', 'on the run', 'fugitive', 'shootout', 'gunfight', 'sadist', 'foot chase', 'police detective', 'police station', 'car chase', 'held at gunpoint', 'fbi agent', 'double cross', 'cult film', 'computer hacker', 'machine gun', 'swat team', 'grenade launcher', 'underwater scene', 'rogue agent', 'woman lawyer', 'damsel in distress']"
74,Big Bully ( 1996 ),Comedy|Family,"['Comedy', 'Family']",1996-01-26,15000000,2042530,36929,36929,90.0,3.9,16,bully,['bully']
75,Screamers ( 1995 ),Horror|Science Fiction,"['Horror', 'Science Fiction']",1995-09-08,20000000,5781885,9102,9102,108.0,6.1,154,man vs machine|alien planet|struggle for survival,"['man vs machine', 'alien planet', 'struggle for survival']"
80,Things to Do in Denver When You're Dead ( 1995 ),Drama|Crime,"['Drama', 'Crime']",1995-12-01,8000000,529766,400,400,116.0,6.7,87,father son relationship|bounty hunter|boat|way of life|coffin|denver|godmother|paranoia|hitman|friendship|psychopath|revenge|murder|independent film|mafia|diner|blood|gangster|violence|illegal prostitution|extramarital affair,"['father son relationship', 'bounty hunter', 'boat', 'way of life', 'coffin', 'denver', 'godmother', 'paranoia', 'hitman', 'friendship', 'psychopath', 'revenge', 'murder', 'independent film', 'mafia', 'diner', 'blood', 'gangster', 'violence', 'illegal prostitution', 'extramarital affair']"
85,White Squall ( 1996 ),Action|Drama,"['Action', 'Drama']",1996-02-02,38000000,10300000,10534,10534,129.0,6.3,86,sailing trip|diary|sailing|survival|coming of age|teenage boy|discipline|squall|sail|ship captain|caribbean|male bonding|seasickness|storm at sea|1960s,"['sailing trip', 'diary', 'sailing', 'survival', 'coming of age', 'teenage boy', 'discipline', 'squall', 'sail', 'ship captain', 'caribbean', 'male bonding', 'seasickness', 'storm at sea', '1960s']"
88,Nick of Time ( 1995 ),Crime|Drama|Thriller,"['Crime', 'Drama', 'Thriller']",1995-11-22,8169363,8175346,2086,2086,90.0,6.1,190,assassination|train station|politics|los angeles,"['assassination', 'train station', 'politics', 'los angeles']"
90,Mary Reilly ( 1996 ),Drama|Horror|Thriller|Romance,"['Drama', 'Horror', 'Thriller', 'Romance']",1996-02-23,47000000,12379402,9095,9095,104.0,5.7,77,servant|monster|laboratory|jekyll and hyde|housemaid|19th century,"['servant', 'monster', 'laboratory', 'jekyll and hyde', 'housemaid', '19th century']"
91,Vampire in Brooklyn ( 1995 ),Comedy|Horror|Romance,"['Comedy', 'Horror', 'Romance']",1995-10-26,14000000,19800000,12158,12158,100.0,4.5,113,vampire|half vampire,"['vampire', 'half vampire']"
93,Broken Arrow ( 1996 ),Action|Adventure|Drama|Thriller,"['Action', 'Adventure', 'Drama', 'Thriller']",1996-02-09,50000000,150270147,9208,9208,108.0,5.7,459,helicopter|river|captain|underground|mexican standoff|countdown|pilot|fistfight|canyon|major|betrayal|gunfight|train|explosion|park ranger|desert|military|nuclear device|boxing|stealth aircraft|abandoned mine|humvee,"['helicopter', 'river', 'captain', 'underground', 'mexican standoff', 'countdown', 'pilot', 'fistfight', 'canyon', 'major', 'betrayal', 'gunfight', 'train', 'explosion', 'park ranger', 'desert', 'military', 'nuclear device', 'boxing', 'stealth aircraft', 'abandoned mine', 'humvee']"
99,Bottle Rocket ( 1996 ),Comedy|Crime|Drama,"['Comedy', 'Crime', 'Drama']",1996-02-21,7000000,560069,13685,13685,91.0,6.8,285,brother brother relationship|robbery|burglar|language barrier|motel|independent film|psychiatric hospital|maid|theft|nervous breakdown|escapade|laundry room,"['brother brother relationship', 'robbery', 'burglar', 'language barrier', 'motel', 'independent film', 'psychiatric hospital', 'maid', 'theft', 'nervous breakdown', 'escapade', 'laundry room']"
102,Happy Gilmore ( 1996 ),Comedy,['Comedy'],1996-02-16,12000000,41205099,9614,9614,92.0,6.5,767,loss of mother|loss of father|golf|sport|taxes,"['loss of mother', 'loss of father', 'golf', 'sport', 'taxes']"
103,The Bridges of Madison County ( 1995 ),Drama|Romance,"['Drama', 'Romance']",1995-05-28,24000000,182016617,688,688,135.0,7.3,397,farewell|adultery|love at first sight|photographer|wife husband relationship|iowa|love of one's life|mother role|bridge|housewife|love letter|peasant|marriage crisis|photography|unsociability|secret love|nature documentary,"['farewell', 'adultery', 'love at first sight', 'photographer', 'wife husband relationship', 'iowa', ""love of one's life"", 'mother role', 'bridge', 'housewife', 'love letter', 'peasant', 'marriage crisis', 'photography', 'unsociability', 'secret love', 'nature documentary']"
108,Braveheart ( 1995 ),Action|Drama|History|War,"['Action', 'Drama', 'History', 'War']",1995-05-24,72000000,210000000,197,197,177.0,7.7,3404,individual|scotland|in love with enemy|legend|independence|idealism|revolt|tyranny,"['individual', 'scotland', 'in love with enemy', 'legend', 'independence', 'idealism', 'revolt', 'tyranny']"
109,Taxi Driver ( 1976 ),Crime|Drama,"['Crime', 'Drama']",1976-02-07,1300000,28262574,103,103,114.0,8.1,2632,vietnam veteran|taxi|obsession|drug dealer|night shift|vigilante|alienation|misanthrope|shot to death|illegal prostitution|loner,"['vietnam veteran', 'taxi', 'obsession', 'drug dealer', 'night shift', 'vigilante', 'alienation', 'misanthrope', 'shot to death', 'illegal prostitution', 'loner']"
110,Rumble in the Bronx ( 1995 ),Crime|Action|Comedy|Thriller,"['Crime', 'Action', 'Comedy', 'Thriller']",1995-01-30,7500000,32392047,33542,33542,91.0,6.5,245,new york|martial arts|supermarket|gang war|disabled child|gang|wedding|diamond|bronx|duringcreditsstinger,"['new york', 'martial arts', 'supermarket', 'gang war', 'disabled child', 'gang', 'wedding', 'diamond', 'bronx', 'duringcreditsstinger']"
117,Steal Big Steal Little ( 1995 ),Comedy|Drama,"['Comedy', 'Drama']",1995-09-29,25000000,6278139,78406,78406,113.0,5.1,7,brother brother relationship|twin brother|lawyer|estate|santa barbara california,"['brother brother relationship', 'twin brother', 'lawyer', 'estate', 'santa barbara california']"
120,Boomerang ( 1992 ),Comedy|Romance,"['Comedy', 'Romance']",1992-06-30,40000000,70100000,11066,11066,117.0,5.4,139,role of women|ladykiller|success|ladies' man|chefin|casanova|womanizer,"['role of women', 'ladykiller', 'success', ""ladies' man"", 'chefin', 'casanova', 'womanizer']"
123,Flirting with Disaster ( 1996 ),Comedy|Romance,"['Comedy', 'Romance']",1996-03-22,7000000,14702438,2074,2074,92.0,6.3,66,lsd|looking for  birth parents|half-brother|independent film,"['lsd', 'looking for  birth parents', 'half-brother', 'independent film']"
130,Jade ( 1995 ),Action|Thriller|Mystery|Romance,"['Action', 'Thriller', 'Mystery', 'Romance']",1995-10-13,50000000,9851610,11863,11863,95.0,5.1,45,callgirl|san francisco|investigation|murder,"['callgirl', 'san francisco', 'investigation', 'murder']"
139,The Birdcage ( 1996 ),Comedy,['Comedy'],1996-03-08,31000000,185260553,11000,11000,117.0,6.7,303,gay|drag queen|homophobia|florida|coming out|senator|politician|lgbt|crossdressing|1990s,"['gay', 'drag queen', 'homophobia', 'florida', 'coming out', 'senator', 'politician', 'lgbt', 'crossdressing', '1990s']"
142,Bad Boys ( 1995 ),Action|Comedy|Crime|Thriller,"['Action', 'Comedy', 'Crime', 'Thriller']",1995-04-07,19000000,141407024,9737,9737,118.0,6.5,1729,miami|detective|handcuffs|airport|mexican standoff|strip club|witness protection|car crash|internal affairs|gunfight|explosion|brutality|foot chase|car chase|drug lord|hangar|loose cannon|bust|reference to skittles|black cop|badge|action hero|corrupt cop,"['miami', 'detective', 'handcuffs', 'airport', 'mexican standoff', 'strip club', 'witness protection', 'car crash', 'internal affairs', 'gunfight', 'explosion', 'brutality', 'foot chase', 'car chase', 'drug lord', 'hangar', 'loose cannon', 'bust', 'reference to skittles', 'black cop', 'badge', 'action hero', 'corrupt cop']"
145,An Awfully Big Adventure ( 1995 ),Romance|Drama|Comedy,"['Romance', 'Drama', 'Comedy']",1995-07-21,4000000,851545,22279,22279,113.0,6.0,11,england|based on novel|liverpool|theatre company|1940s,"['england', 'based on novel', 'liverpool', 'theatre company', '1940s']"
147,Apollo 13 ( 1995 ),Drama,['Drama'],1995-06-30,52000000,355237933,568,568,140.0,7.3,1637,moon|florida|nasa|spaceman|race against time|houston|based on true story|space|rescue|survival|disaster|explosion|astronaut|imax|saturn v rocket|courage|hypothermia|apollo program|cape kennedy|lunar mission|spacecraft accident,"['moon', 'florida', 'nasa', 'spaceman', 'race against time', 'houston', 'based on true story', 'space', 'rescue', 'survival', 'disaster', 'explosion', 'astronaut', 'imax', 'saturn v rocket', 'courage', 'hypothermia', 'apollo program', 'cape kennedy', 'lunar mission', 'spacecraft accident']"
148,Rob Roy ( 1995 ),Adventure,['Adventure'],1995-04-13,28000000,31596911,11780,11780,139.0,6.5,151,scotland|biography|18th century|highlands|violent man,"['scotland', 'biography', '18th century', 'highlands', 'violent man']"
150,Batman Forever ( 1995 ),Action|Crime|Fantasy,"['Action', 'Crime', 'Fantasy']",1995-06-16,100000000,336529144,414,414,121.0,5.2,1529,riddle|dc comics|rose|gotham city|partner|superhero|robin|broken neck|psychologist|violence|criminal|district attorney|millionaire|falling down stairs|tied up|tommy gun|beretta|knocked out|super powers|disfigurement|father figure,"['riddle', 'dc comics', 'rose', 'gotham city', 'partner', 'superhero', 'robin', 'broken neck', 'psychologist', 'violence', 'criminal', 'district attorney', 'millionaire', 'falling down stairs', 'tied up', 'tommy gun', 'beretta', 'knocked out', 'super powers', 'disfigurement', 'father figure']"
153,Blue in the Face ( 1995 ),Comedy,['Comedy'],1995-09-15,2000000,1275000,5894,5894,83.0,6.8,28,smoking|corner shop|cigarette|tobacco|cigar|independent film,"['smoking', 'corner shop', 'cigarette', 'tobacco', 'cigar', 'independent film']"
154,Canadian Bacon ( 1995 ),Action|Comedy,"['Action', 'Comedy']",1995-06-08,11000000,178104,1775,1775,91.0,5.9,57,,[]
155,Casper ( 1995 ),Fantasy|Comedy|Family,"['Fantasy', 'Comedy', 'Family']",1995-05-26,50000000,287928194,8839,8839,100.0,6.0,1045,halloween|friendship|supernatural|afterlife|friends|danger|ghost|disorder|young heroes|imaginary|supernatural ability|mischievous children,"['halloween', 'friendship', 'supernatural', 'afterlife', 'friends', 'danger', 'ghost', 'disorder', 'young heroes', 'imaginary', 'supernatural ability', 'mischievous children']"
156,Clockers ( 1995 ),Mystery|Crime|Drama,"['Mystery', 'Crime', 'Drama']",1995-09-15,25000000,13071518,20649,20649,128.0,6.8,69,drug pusher|train|drug|drug lord,"['drug pusher', 'train', 'drug', 'drug lord']"
157,Congo ( 1995 ),Action|Adventure|Drama|Mystery|Science Fiction|Thriller,"['Action', 'Adventure', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",1995-06-09,50000000,152022101,10329,10329,109.0,5.0,214,gorilla|kongo|diamond mine|diamond,"['gorilla', 'kongo', 'diamond mine', 'diamond']"
158,Crimson Tide ( 1995 ),Action|Thriller|Drama,"['Action', 'Thriller', 'Drama']",1995-05-12,53000000,157387195,8963,8963,116.0,7.0,508,submarine|mutiny|russia|missile|nuclear missile|embassy|u.s. navy|battle for power|torpedo|military|moral dilemma|post cold war|aircraft carrier|chain of command|launch code|sonar,"['submarine', 'mutiny', 'russia', 'missile', 'nuclear missile', 'embassy', 'u.s. navy', 'battle for power', 'torpedo', 'military', 'moral dilemma', 'post cold war', 'aircraft carrier', 'chain of command', 'launch code', 'sonar']"
160,Desperado ( 1995 ),Thriller|Action|Crime,"['Thriller', 'Action', 'Crime']",1995-08-25,7000000,25405445,8068,8068,104.0,6.8,898,gunslinger|anti terror|ambush|mexico|showdown|guitar|nudity|hitman|bartender|revenge|tragic hero|shootout|mariachi|explosion|extreme violence|brutality|drug lord|leg brace|concealed weapon|flashback|bookstore,"['gunslinger', 'anti terror', 'ambush', 'mexico', 'showdown', 'guitar', 'nudity', 'hitman', 'bartender', 'revenge', 'tragic hero', 'shootout', 'mariachi', 'explosion', 'extreme violence', 'brutality', 'drug lord', 'leg brace', 'concealed weapon', 'flashback', 'bookstore']"
161,Devil in a Blue Dress ( 1995 ),Drama|Mystery|Thriller,"['Drama', 'Mystery', 'Thriller']",1995-09-15,27000000,16140822,8512,8512,102.0,6.3,88,jazz club|murder|los angeles|private detective|film noir|neo-noir,"['jazz club', 'murder', 'los angeles', 'private detective', 'film noir', 'neo-noir']"
162,Die Hard: With a Vengeance ( 1995 ),Action|Thriller,"['Action', 'Thriller']",1995-05-19,90000000,366101666,1572,1572,128.0,6.9,2094,bomb|taxi|riddle|robbery|detective|helicopter|gold|subway|ship|fistfight|police|sequel|deception|shootout|new york city|explosion|violence|car chase|fbi agent|simon says|flashback|dump truck|aqueduct|action hero|federal reserve bank,"['bomb', 'taxi', 'riddle', 'robbery', 'detective', 'helicopter', 'gold', 'subway', 'ship', 'fistfight', 'police', 'sequel', 'deception', 'shootout', 'new york city', 'explosion', 'violence', 'car chase', 'fbi agent', 'simon says', 'flashback', 'dump truck', 'aqueduct', 'action hero', 'federal reserve bank']"
165,First Knight ( 1995 ),Action|Adventure|Drama|Romance,"['Action', 'Adventure', 'Drama', 'Romance']",1995-07-07,55000000,127600435,6520,6520,134.0,5.9,319,camelot|knight|king arthur|excalibur|knights of the round table,"['camelot', 'knight', 'king arthur', 'excalibur', 'knights of the round table']"
167,Hackers ( 1995 ),Action|Crime|Thriller|Drama,"['Action', 'Crime', 'Thriller', 'Drama']",1995-09-14,20000000,7563728,10428,10428,107.0,6.2,406,female nudity|hacker|nudity|computer virus|virtual reality|computer|sexual fantasy|prank|internet|cyberpunk|teenager|new york city|secret service|computer hacker|dream sequence,"['female nudity', 'hacker', 'nudity', 'computer virus', 'virtual reality', 'computer', 'sexual fantasy', 'prank', 'internet', 'cyberpunk', 'teenager', 'new york city', 'secret service', 'computer hacker', 'dream sequence']"
169,Johnny Mnemonic ( 1995 ),Adventure|Action|Drama|Science Fiction|Thriller,"['Adventure', 'Action', 'Drama', 'Science Fiction', 'Thriller']",1995-05-26,25000000,19075720,9886,9886,97.0,5.5,380,brain|childhood memory|dystopia|pharmaceutical industry|computer chip|courier|cyber|cyberpunk,"['brain', 'childhood memory', 'dystopia', 'pharmaceutical industry', 'computer chip', 'courier', 'cyber', 'cyberpunk']"
